"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"QB","Ryan Nassib",4000,"NO@MIN 07:10PM ET",0,"NO"
"QB","Garrett Grayson",4000,"NO@MIN 07:10PM ET",0,"NO"
"QB","Chad Kelly",4000,"LAC@DEN 10:20PM ET",0,"DEN"
"QB","Kyle Sloter",4000,"LAC@DEN 10:20PM ET",0,"DEN"
"QB","Kellen Clemens",4000,"LAC@DEN 10:20PM ET",-0.008,"LAC"
"QB","Mike Bercovici",4000,"LAC@DEN 10:20PM ET",0,"LAC"
"RB","Branden Oliver",4000,"LAC@DEN 10:20PM ET",0,"LAC"
"RB","James White",3900,"KC@NE 08:30PM ET",9.689,"NE"
"DST","Bills ",3900,"NYJ@BUF 01:00PM ET",6.500,"BUF"
"RB","Jonathan Williams",3900,"NYJ@BUF 01:00PM ET",1.309,"BUF"
"RB","Jeremy Langford",3900,"ATL@CHI 01:00PM ET",6.267,"CHI"
"WR","Eli Rogers",3900,"PIT@CLE 01:00PM ET",9.513,"PIT"
"RB","Chris Johnson",3900,"ARI@DET 01:00PM ET",3.875,"ARI"
"WR","Braxton Miller",3900,"JAX@HOU 01:00PM ET",3.090,"HOU"
"RB","T.J. Yeldon",3900,"JAX@HOU 01:00PM ET",9.247,"JAX"
"RB","Charles Sims",3900,"TB@MIA 01:00PM ET",9.843,"TB"
"RB","Jalen Richard",3900,"OAK@TEN 01:00PM ET",6.976,"OAK"
"RB","Darren Sproles",3900,"PHI@WAS 01:00PM ET",11.033,"PHI"
"RB","Malcolm Brown",3900,"IND@LAR 04:05PM ET",0.656,"LAR"
"RB","Jamaal Williams",3900,"SEA@GB 04:25PM ET",0,"GB"
"TE","Jason Witten",3900,"NYG@DAL 08:30PM ET",10.247,"DAL"
"RB","Rod Smith",3900,"NYG@DAL 08:30PM ET",0.200,"DAL"
"RB","Dion Lewis",3800,"KC@NE 08:30PM ET",9.333,"NE"
"WR","Robby Anderson",3800,"NYJ@BUF 01:00PM ET",7.244,"NYJ"
"WR","Sammie Coates",3800,"PIT@CLE 01:00PM ET",5.076,"CLE"
"RB","Kerwynn Williams",3800,"ARI@DET 01:00PM ET",2.930,"ARI"
"RB","Zach Zenner",3800,"ARI@DET 01:00PM ET",7.253,"DET"
